loop_num,pred_intervals,input_size,MAPE,MAE,run_time
95,5,space16*time24,5.999981731533718,14.308817124766984,3775.5544531345367
95,10,space32*time32,7.365149850430696,17.792437327783862,4576.182275533676
95,15,space44*time8,8.273273899441673,19.74751512116749,3815.966656446457
95,20,space56*time28,8.169158184903672,19.74533382455806,5008.044968128204
