pred_interval,space_time,MAPE,MAE
10,space24*time40,7.704405058,18.5348469
10,space28*time4,7.926539451,18.68063594
10,space28*time8,8.216041885,19.32273348
10,space28*time12,8.002711438,18.18541991
10,space28*time16,7.877795046,18.23102809
10,space28*time20,7.648812821,18.49842944
10,space28*time24,7.941603287,18.89084283
10,space28*time28,7.962398787,18.61568484
10,space28*time32,7.375249203,18.21474318
10,space28*time36,7.49324463,18.29580493
10,space28*time40,7.51029226,18.26161161
10,space32*time4,8.002216604,19.40805007
10,space32*time8,8.209088011,18.96822764
10,space32*time12,7.869969071,18.33574774
10,space32*time16,8.087750194,19.37447701
10,space32*time20,7.636351152,18.34640202
10,space32*time24,7.746120853,18.71290023
10,space32*time28,8.018662787,18.94257783
10,space32*time32,8.113021178,19.80930448
10,space32*time36,7.467953171,18.10411567
10,space32*time40,7.367030133,18.643668
10,space36*time4,7.843386508,18.51962129
10,space36*time8,8.133840288,18.84233064
10,space36*time12,7.879184891,17.95134371
10,space36*time16,7.884707684,18.30848846
10,space36*time20,7.770084492,19.3618246
10,space36*time24,8.082709301,20.24627492
10,space36*time28,8.101682723,19.2729669
10,space36*time32,7.547317449,18.95194368
10,space36*time36,7.483811813,18.53914408
10,space36*time40,7.621592815,18.58663075
10,space40*time4,7.860664568,18.56382012
10,space40*time8,8.120610658,19.08575162
10,space40*time12,7.724778605,17.76143563
10,space40*time16,7.83182399,18.22984958
10,space40*time20,7.545652802,18.38587663
10,space40*time24,7.62214439,18.65717486
10,space40*time28,8.574295467,19.95935918
10,space40*time32,7.570636657,18.7322319
10,space40*time36,7.496900562,18.20280929
10,space40*time40,7.50417656,18.21408775
15,space4*time4,11.87444548,27.69240477
15,space4*time8,11.28560779,26.27318413
15,space4*time12,10.72599864,25.88058106
15,space4*time16,9.87529602,24.00060186
15,space4*time20,10.23207761,24.39822505
15,space4*time24,9.66523681,23.1611913
15,space4*time28,10.15494766,23.68241232
15,space4*time32,9.385331071,23.63865925
15,space4*time36,9.530581938,23.09321791
15,space4*time40,9.151516404,23.41095966
15,space8*time4,11.23325141,26.30665712
15,space8*time8,10.87878102,26.22088003
15,space8*time12,10.48645116,24.56592417
