pred_interval,space_time,MAPE,MAE
15,space4*time4,11.763679559216527,24.225756992408616
15,space4*time8,11.144893190395907,23.63458501239421
15,space4*time12,10.414254575378529,21.955222929216845
15,space4*time16,10.597163912348579,22.212876847863125
15,space4*time20,10.463520499879028,21.888667315253606
15,space4*time24,10.609951485832818,22.08269598615541
15,space4*time28,10.660027243744308,22.284631868102203
15,space4*time32,10.320098802581402,22.53877327180438
15,space4*time36,10.22985753172089,21.297428929169307
15,space4*time40,9.965310195026689,21.372973878999534
15,space8*time4,11.271159928715871,22.85566490310395
15,space8*time8,10.462347586449837,21.756756203586594
15,space8*time12,10.736377699493719,22.716179403735893
15,space8*time16,10.344929077726698,21.249100317706457
15,space8*time20,10.084462920598439,21.405034096969043
15,space8*time24,10.361627009275148,21.050710174963058
15,space8*time28,10.387659680110582,21.425360557521838
15,space8*time32,9.89461776147578,21.43457407685333
15,space8*time36,10.038467530511994,20.83778697141431
15,space8*time40,9.64200724204882,20.366917753520042
15,space12*time4,10.92773078872772,22.016074161186904
15,space12*time8,10.422155285138647,21.656106954564873
15,space12*time12,9.863950463666967,20.049407653854306
15,space12*time16,10.359707391783461,21.793151905752357
15,space12*time20,10.021386220850271,21.34548771920803
15,space12*time24,10.372666175988652,21.128643063332536
15,space12*time28,10.425925836748984,20.874155916731574
15,space12*time32,9.474045800390398,21.06916009299971
15,space12*time36,10.135048862839431,21.15091789934402
15,space12*time40,9.415179666655936,19.95091239117732
15,space16*time4,10.610988875063594,21.606566999058522
15,space16*time8,10.1347449811928,20.99276776640813
15,space16*time12,10.059932211618213,21.122214691591807
15,space16*time16,9.740073584024602,20.2610048050649
15,space16*time20,9.846973850443437,20.739882471749336
15,space16*time24,10.28687383345277,21.217911674536104
15,space16*time28,10.281249183872115,20.872005304796943
15,space16*time32,9.498546950460982,20.315941647562212
15,space16*time36,10.383840335795604,20.88597116773545
15,space16*time40,9.410553262929747,19.797565263347014
15,space20*time4,10.568560329597153,21.646794217503714
15,space20*time8,10.231977801795633,21.25455255728348
15,space20*time12,9.829571943357363,20.152262617400336
15,space20*time16,9.911864494406013,20.7147869478092
15,space20*time20,9.669399394365996,20.109230935734335
15,space20*time24,10.143195461026199,20.762555225289983
15,space20*time28,10.300222325074797,21.607515615895057
15,space20*time32,9.586026577300201,20.6479954367708
15,space20*time36,9.770263821190534,20.288445004175433
15,space20*time40,9.52842052670309,19.63033461577893
15,space24*time4,10.403926835659735,21.105894663233958
15,space24*time8,10.237368797320526,21.72502700323543
15,space24*time12,9.64633485269518,20.059401385865574
15,space24*time16,9.859695134011481,20.372118975603346
15,space24*time20,9.876802598783488,20.56326056627017
15,space24*time24,10.034999144163063,20.362674550758562
15,space24*time28,10.266651312271874,20.701825190233862
15,space24*time32,10.042464180198628,21.24153262838033
15,space24*time36,10.142973016534084,20.552376446211916
15,space24*time40,9.38660838144018,19.479307800164783
15,space28*time4,10.116250692013494,20.583421390784714
15,space28*time8,10.028963616809005,20.5067886924915
15,space28*time12,9.471602845006249,19.623475451323714
15,space28*time16,9.661864710968365,20.116048807152165
15,space28*time20,9.573338332560594,19.933847918637614
15,space28*time24,9.79032057137798,19.92340143693151
15,space28*time28,10.386942987999637,21.367289804232712
15,space28*time32,9.50339023095802,20.857000306329116
15,space28*time36,9.91607896110292,20.050693778556912
15,space28*time40,9.398241324071371,19.458969143965636
15,space32*time4,9.690366066001847,19.93966984206331
15,space32*time8,9.463056921066372,19.71546064504216
15,space32*time12,9.461575914386364,19.469565186406268
15,space32*time16,9.487245064284574,19.365972255503365
15,space32*time20,9.593865880145975,20.944068810380358
15,space32*time24,9.731785866854002,20.59742930066957
15,space32*time28,10.054241666407778,20.36257069886535
15,space32*time32,9.127340524441193,19.638245654091836
15,space32*time36,9.58977670532254,19.688549603540597
15,space32*time40,9.442276712298,19.656518289787506
15,space36*time4,9.903002354056536,19.959004460409016
15,space36*time8,9.578100994483695,19.70552995926822
15,space36*time12,9.242566900099016,18.980512651017214
15,space36*time16,9.605251440821899,19.976466529165076
15,space36*time20,9.193368584515987,19.407752384280673
15,space36*time24,9.65683923236472,19.682901229218043
15,space36*time28,9.875787496781243,19.799251400262698
15,space36*time32,9.34260142142714,20.254150965003532
15,space36*time36,9.630996591399798,19.617205584342422
15,space36*time40,9.437740713205919,19.76102439469487
15,space40*time4,9.663841956247113,19.577124981680317
15,space40*time8,9.754793514709839,19.966787339399303
15,space40*time12,9.328716387214454,19.069498758104622
15,space40*time16,9.525671774073944,19.55481820423636
15,space40*time20,9.341015505369173,19.430011919025606
15,space40*time24,9.543231454112833,19.840217512574412
15,space40*time28,9.934681160339172,19.96189501074658
15,space40*time32,9.346506456879705,20.751846386704106
15,space40*time36,9.586052474678098,19.64609445607369
15,space40*time40,9.258115997909606,19.068211967223334
