pred_interval,space_time,MAPE,MAE
5,space4*time4,7.2980336509065,17.070293373975925
5,space4*time8,6.941876320067994,16.256586193610094
5,space4*time12,7.173991371679177,16.649417097463548
5,space4*time16,6.889262039694263,16.246183798797407
5,space4*time20,6.873244008940782,16.7856386317298
5,space4*time24,6.759596195724085,16.33201782080195
5,space4*time28,6.94297189392346,16.965929516213688
5,space4*time32,7.1205703609529465,16.573740214815384
5,space4*time36,6.851963312953407,16.25801369267162
5,space4*time40,6.8485669530335755,16.634350418150337
5,space8*time4,6.809193341603536,16.219265362174212
5,space8*time8,6.665088575899958,15.787477114100657
5,space8*time12,6.879239494052966,15.836970405829955
5,space8*time16,6.661830495830922,15.885411468789275
5,space8*time20,6.4803040508456595,15.725918586360576
5,space8*time24,6.581507408361641,15.842050488332479
5,space8*time28,6.644750133121042,15.87744569664093
5,space8*time32,6.992677495576095,16.08984412117519
5,space8*time36,6.590620838101209,15.612005924849576
5,space8*time40,6.508425253059211,15.801568843064421
5,space12*time4,6.77923701223499,16.10029639055629
5,space12*time8,6.527681021776028,15.52552325311535
5,space12*time12,7.1453656844658635,17.069263654470657
5,space12*time16,6.513188544971062,15.575591849023672
5,space12*time20,6.356742767577476,15.071382966697449
5,space12*time24,6.391686998682914,15.43435944756158
5,space12*time28,6.544368034929966,15.875307128869657
5,space12*time32,6.8518504666066775,15.999409528329098
5,space12*time36,6.694422056807968,15.775755395414448
5,space12*time40,6.36454622229763,15.446832311786476
5,space16*time4,6.4691607538097635,15.387407891050785
5,space16*time8,6.43685981556327,15.793812460528162
5,space16*time12,6.60693952458174,15.262058448277394
5,space16*time16,6.436001536801877,15.44594069195765
5,space16*time20,6.228004524441297,14.820716579552714
5,space16*time24,6.216431375316007,15.250490604830588
5,space16*time28,6.311079459796421,15.435186715434781
5,space16*time32,6.717100560647258,15.568836194428725
5,space16*time36,6.537192460513787,15.288275357700066
5,space16*time40,6.257836395936652,15.324736033478835
5,space20*time4,6.640578938672642,16.006026417623737
5,space20*time8,6.294325762880063,15.260503280091429
5,space20*time12,6.6524441745617535,15.231595273573408
5,space20*time16,6.458460862369434,15.084086423294497
5,space20*time20,6.3181995851106905,15.449481619451086
5,space20*time24,6.28563021470031,15.394516199326915
5,space20*time28,6.36648997242788,15.324089727241644
5,space20*time32,6.840844319356435,15.516867398858249
5,space20*time36,6.527785420489297,15.498520251584754
5,space20*time40,6.429394203658723,15.688793348328973
5,space24*time4,6.550814520670269,15.559387434314111
5,space24*time8,6.302805285539455,15.096727800654794
5,space24*time12,6.641995530244154,15.405480702146866
5,space24*time16,6.4338460214270885,15.172083091278717
5,space24*time20,6.320808931778818,15.11230915550847
5,space24*time24,6.25514019250298,15.249005153024797
5,space24*time28,6.719001747149644,16.722100356214053
5,space24*time32,7.07787772726262,16.174152164945358
5,space24*time36,6.451129066636624,15.371990188410987
5,space24*time40,6.610551010907823,15.914946163519703
5,space28*time4,6.4581661264339605,15.242715044078713
5,space28*time8,6.427712538142404,15.936945381849826
5,space28*time12,6.552991711261495,15.367110697656878
5,space28*time16,6.633174896240234,15.648496171255323
5,space28*time20,6.525952289588158,16.107575839245285
5,space28*time24,6.383386925255937,15.436353745220377
5,space28*time28,6.371613730057824,15.202934923789485
5,space28*time32,6.791990161764211,15.587290432428134
5,space28*time36,6.486369271727472,15.790431827002825
5,space28*time40,6.667656133956749,15.611428683132443
5,space32*time4,6.5721557434447515,15.796444615346942
5,space32*time8,6.325814867305184,15.259049332213259
5,space32*time12,6.431572558387877,15.211281957223623
5,space32*time16,6.372082427706527,15.122153491871025
5,space32*time20,6.362760417504978,15.028287582351735
5,space32*time24,6.33166347933616,15.190492595700052
5,space32*time28,6.425821891505655,15.541394903791323
5,space32*time32,6.632152389371949,15.175496508871419
5,space32*time36,6.6003970470554325,15.248066406158465
5,space32*time40,6.53545728832832,15.840466148818251
5,space36*time4,6.487248559483511,15.451988751302936
5,space36*time8,6.292782058830033,15.098814344120596
5,space36*time12,6.588832294558936,15.406534638080672
5,space36*time16,6.447414196487527,15.185034674752465
5,space36*time20,6.181968138680188,14.733246003934855
5,space36*time24,6.505026632075687,15.483969773034111
5,space36*time28,6.3579768928692495,15.284012572656719
5,space36*time32,6.83264594085213,15.586016068465707
5,space36*time36,6.572896328956407,15.375264431519213
5,space36*time40,6.612707686860605,15.822529566169965
5,space40*time4,6.471026385758451,15.548648097557935
5,space40*time8,6.27893261709613,15.027295042940242
5,space40*time12,6.50402666730558,15.26923503201677
5,space40*time16,6.385611157563005,15.11975819683132
5,space40*time20,6.20002618606197,14.887740836230659
5,space40*time24,6.4477609501754065,15.31538170876263
5,space40*time28,6.653289621110728,15.801041143403637
5,space40*time32,6.906049904687473,15.548400353313028
5,space40*time36,6.803453477757665,16.064077438532983
5,space40*time40,6.353137918610205,15.292530978580798
