pred_interval,space_time,MAPE,MAE
5,space32*time4,6.2894533777,12.6777042126
5,space32*time8,6.41047960841,13.3036714485
5,space32*time12,6.28934333124,12.8260507058
5,space32*time16,6.52321647612,13.5030082899
5,space32*time20,6.6534557997,14.0084763636
5,space32*time24,6.52343569671,13.6234837173
5,space32*time28,6.95978194404,14.5280891391
5,space32*time32,6.85570565056,14.2823565259
5,space32*time36,7.08830586378,14.9397205211
5,space32*time40,7.23240934476,14.8192896799
5,space36*time4,6.31385903101,12.9484488584
5,space36*time8,6.34424911488,13.2432830262
5,space36*time12,6.56282513939,13.3538451168
5,space36*time16,6.52720995704,13.4520846253
5,space36*time20,6.38288936066,13.1871578731
5,space36*time24,6.81561137046,14.2021645219
5,space36*time28,6.92323499675,14.363034086
5,space36*time32,6.96273093645,14.6928557726
5,space36*time36,7.02533332903,14.8025171432
5,space36*time40,7.0373413253,14.7107042604
5,space40*time4,6.29331597368,12.8566158489
5,space40*time8,6.50600621515,13.6379825261
5,space40*time12,6.58548170066,13.4877409071
5,space40*time16,6.77347777717,14.0320067831
5,space40*time20,6.67783731953,13.81850972
