pred_interval,space_time,MAPE,MAE
5,space4*time4,8.263354867946601,21.65458970897926
5,space4*time8,8.269306483240184,21.77337504632459
5,space4*time12,8.307281558404393,21.99050696019678
5,space4*time16,7.83653153881761,21.298793913290986
5,space4*time20,8.069068575748469,21.68374979535298
5,space4*time24,8.038131343375007,22.72368543611156
5,space4*time28,7.781718702339154,21.94129097661812
5,space4*time32,7.579616823868416,20.934056875980954
5,space4*time36,7.9454898204929325,21.817876598401632
5,space4*time40,7.601369408562561,21.17609202250181
5,space8*time4,7.616593805187477,20.4739860032133
5,space8*time8,7.907334231759259,21.292950124226646
5,space8*time12,8.4791733153961,22.347812951628626
5,space8*time16,7.650697227292892,21.09220439849177
5,space8*time20,7.907735215285098,21.159497900640748
5,space8*time24,7.936962200869187,22.396569281745013
5,space8*time28,7.646532408625102,20.997373032055314
5,space8*time32,7.710467287232315,22.064705374287342
5,space8*time36,8.02215769023472,21.81710284530008
5,space8*time40,7.524852935809328,20.64611149606782
5,space12*time4,7.444304975635277,20.52136913002608
5,space12*time8,7.659794097032376,20.626767166503175
5,space12*time12,7.540296743500908,20.415229122165293
5,space12*time16,7.494536982388322,20.571132927329472
5,space12*time20,8.170390924437159,21.653317596657317
5,space12*time24,7.593694263796726,21.036997527527294
5,space12*time28,7.614582738716254,21.502565050010773
5,space12*time32,7.604501596991269,21.19479444123458
5,space12*time36,7.84972079070514,21.64629154399833
5,space12*time40,7.415433676508215,20.31043855728346
5,space16*time4,7.088998879072909,19.69658706116819
5,space16*time8,7.275545778103218,20.059748148204324
5,space16*time12,7.512783840695838,20.921585217818915
5,space16*time16,6.995214282287817,20.088227516023466
5,space16*time20,7.567473145205709,21.210400105237174
5,space16*time24,7.395940519922929,20.525461045958156
5,space16*time28,7.397994944803434,20.60306362453982
5,space16*time32,7.082739156153964,20.05635274232238
5,space16*time36,7.48487736668212,20.971886675445063
5,space16*time40,7.201029238742356,19.87488060558375
5,space20*time4,7.012003970574476,19.58062560486936
5,space20*time8,7.288403326023125,21.027441698633982
5,space20*time12,7.327759799003315,20.329650648699154
5,space20*time16,6.964348896168319,19.994429588889275
5,space20*time20,7.2088495832665584,19.721031035210938
5,space20*time24,7.208518530253312,20.278273850036182
5,space20*time28,7.460489556657897,21.245993136216125
5,space20*time32,7.051430784851715,19.690733756046782
5,space20*time36,7.3405861325369814,21.024347108498834
5,space20*time40,6.903248454728286,19.53318437312481
5,space24*time4,6.762442920593444,19.153158843445922
5,space24*time8,6.937750774657655,19.575732679995234
5,space24*time12,6.9102289388907385,19.678145507739384
5,space24*time16,6.833201839225317,19.848057056059016
5,space24*time20,7.055626280764316,19.565405739614768
5,space24*time24,7.1138461956874925,20.484814284802628
5,space24*time28,6.885313820781754,19.611447665902922
5,space24*time32,6.896091757292512,19.670417274635234
5,space24*time36,7.04047067078131,20.19988643987206
5,space24*time40,6.839533776947946,19.540699770813262
5,space28*time4,6.75177018399724,19.595813216706237
5,space28*time8,6.767680612438453,19.263530377142445
5,space28*time12,6.830919812417523,19.75387455568088
5,space28*time16,6.978329450517018,19.950296937955077
5,space28*time20,6.910626273402419,19.674940153550057
5,space28*time24,7.051931040464259,20.013665270176435
5,space28*time28,7.012182568474639,20.168216412587704
5,space28*time32,6.5595396759627995,19.139880389109187
5,space28*time36,7.103580162492282,20.5317420124221
5,space28*time40,6.903195846699538,19.18822219670087
5,space32*time4,6.816620769043882,19.67703104761546
5,space32*time8,6.800897980307391,19.548940992069817
5,space32*time12,7.064071411642352,20.562407084873744
5,space32*time16,6.5781113595716825,18.990331905769544
5,space32*time20,6.991146207820308,19.67501659524773
5,space32*time24,6.957622765923004,20.353079674626997
5,space32*time28,7.021490800294945,20.298344248490366
5,space32*time32,6.653153563189185,19.0163598193579
5,space32*time36,6.707882711539815,19.604253090421956
5,space32*time40,6.818743063957885,19.323121613079888
5,space36*time4,6.742872730986087,19.020796799802493
5,space36*time8,6.809430977255999,19.60005501158937
5,space36*time12,6.604742940581105,19.14550646953006
5,space36*time16,6.759202597168407,19.665790623001456
5,space36*time20,6.974961878976887,19.946153966545307
5,space36*time24,7.179797177120364,20.84058941353997
5,space36*time28,7.1892557464343465,20.812553410335696
5,space36*time32,6.88204059615128,19.730387236153348
5,space36*time36,6.718184792359002,19.582819930078315
5,space36*time40,6.846791767837978,19.44939797667816
5,space40*time4,6.706856285026688,19.164641666983417
5,space40*time8,6.894444550725514,19.650223516133018
5,space40*time12,6.7535616493967705,19.241677280527703
5,space40*time16,6.908308883139014,19.85744258384636
5,space40*time20,6.95885674153969,19.280806713487205
5,space40*time24,6.9967878625261415,20.108309610856235
5,space40*time28,7.016646643622602,19.886598994120135
5,space40*time32,6.837687108899163,19.724919481863683
5,space40*time36,7.197257354864476,20.361355476631115
5,space40*time40,6.650143534365339,19.123195920589986
