pred_interval,space_time,MAPE,MAE
5,space4*time4,8.189948868,15.9250105
5,space4*time8,8.007745127,15.74293891
5,space4*time12,8.173911181,15.98104081
5,space4*time16,7.76632387,15.28436244
5,space4*time20,8.290480519,16.0321901
5,space4*time24,7.843053571,15.8149842
5,space4*time28,7.868492977,15.91112658
5,space4*time32,7.869433324,15.83981697
5,space4*time36,7.854238828,15.87383588
5,space4*time40,7.944648356,15.75858098
5,space8*time4,7.805289334,15.53238118
5,space8*time8,7.415534807,14.63593139
5,space8*time12,7.72856853,14.91621578
5,space8*time16,7.515058553,14.65292772
5,space8*time20,7.727012138,15.14280656
5,space8*time24,7.446702543,14.9044249
5,space8*time28,7.637389846,15.2595805
5,space8*time32,7.497109297,14.96950757
5,space8*time36,7.680344477,15.47360039
5,space8*time40,7.575169917,15.22380696
5,space12*time4,7.373402751,14.64590354
5,space12*time8,7.302204977,14.71554927
5,space12*time12,7.454662966,14.51078859
5,space12*time16,7.212514045,14.20199942
5,space12*time20,7.535851949,14.65711622
5,space12*time24,7.486100387,15.26805411
5,space12*time28,7.446041802,14.76754996
5,space12*time32,7.360435786,14.65416142
5,space12*time36,7.484953283,14.99669696
5,space12*time40,7.607110731,14.90088602
5,space16*time4,7.186488781,14.09817195
5,space16*time8,7.092518118,14.45952631
5,space16*time12,7.251126403,14.24330637
5,space16*time16,7.209601456,14.44011372
5,space16*time20,7.144067378,14.16762405
5,space16*time24,7.206709767,14.54761842
5,space16*time28,7.113698143,14.53419767
5,space16*time32,7.230182254,14.29572377
5,space16*time36,7.28435744,14.92359597
5,space16*time40,7.532433721,15.30714081
5,space20*time4,6.761683098,13.28539907
5,space20*time8,6.965505758,14.31808818
5,space20*time12,6.725688216,13.34797488
5,space20*time16,6.774413248,13.67130314
5,space20*time20,6.617438657,13.4119713
5,space20*time24,6.717555744,13.67907846
5,space20*time28,6.855579415,14.00889901
5,space20*time32,7.120374396,14.33701157
5,space20*time36,6.892067479,14.1893071
5,space20*time40,7.38632176,15.04908045
5,space24*time4,6.607033729,13.40189651
5,space24*time8,6.328818507,13.14220448
5,space24*time12,6.47680286,13.10503403
5,space24*time16,6.347042301,13.22791803
5,space24*time20,6.707923496,14.09136836
5,space24*time24,6.411467837,13.3895716
5,space24*time28,6.563637058,13.68262861
5,space24*time32,6.523521223,13.3721726
5,space24*time36,6.76188769,13.9162464
5,space24*time40,6.900820466,14.16697923
5,space28*time4,6.437559892,13.00543517
5,space28*time8,6.618802025,13.60560489
5,space28*time12,6.216123157,12.74831205
5,space28*time16,6.287205492,13.0065554
5,space28*time20,6.636978547,13.93615122
5,space28*time24,6.645145425,13.73628934
5,space28*time28,6.713276634,13.93477936
5,space28*time32,6.573786417,13.51672839
5,space28*time36,6.516979232,13.62965312
5,space28*time40,6.412557161,13.2519613
5,space32*time4,6.3642862908140625,12.851762197117605
5,space32*time8,6.3704445016598275,13.135024138125116
5,space32*time12,6.322491696509961,12.827040017668663
5,space32*time16,6.299039639849517,13.062261299718418
5,space32*time20,6.620077683606261,13.396698695083632
5,space32*time24,6.697855423394439,14.040361386123035
5,space32*time28,6.527743298372776,13.294553276446226
5,space32*time32,6.5805062129579746,14.137866186916918
5,space32*time36,6.5039900420451495,13.802196255542592
5,space32*time40,6.5548449183526145,13.61880050233417
5,space36*time4,6.407023465847541,12.664610381897338
5,space36*time8,6.359781410879718,13.045122742795659
5,space36*time12,6.276151292657524,12.898942416997397
5,space36*time16,6.325484037827845,13.223586711003582
5,space36*time20,6.529195778663551,13.525600758004696
5,space36*time24,6.591827610985552,13.795423226390811
5,space36*time28,6.796285940302933,13.948986240999876
5,space36*time32,6.662600653389584,13.612962073078757
5,space36*time36,6.309451236793504,13.389512742287968
5,space36*time40,7.049211083179546,14.601750880005909
5,space40*time4,6.3209020374777785,12.76010324740838
5,space40*time8,6.444103294361137,13.394634091497181
5,space40*time12,6.288164055536663,13.008360382610183
5,space40*time16,6.531361517897618,13.670937057595685
5,space40*time20,6.419914454230656,13.360653218517125
5,space40*time24,6.552193495295317,13.779042589292823
5,space40*time28,6.784901234743407,14.077566521916744
5,space40*time32,6.655341354124192,13.684710929561769
5,space40*time36,6.576097342806372,13.725325378459159
5,space40*time40,6.287667983793619,13.006667439586366
